row_number,raw_ej,tagged_ej
9BTGO0345-0000710,얼마든지,얼마/NNG + 이/VCP + 든지/EC
9BTGO0345-0000720,안심하고,안심/NNG + 하/XSV + 고/EC
9BTGO0345-0000730,받을,받/VV + 을/ETM
9BTGO0345-0000740,수,수/NNB
9BTGO0345-0000750,있는,있/VV + 는/ETM
9BTGO0345-0000760,물건이다.,물건/NNG + 이/VCP + 다/EF + ./SF
9BTGO0345-0000770,주는,주/VV + 는/ETM
9BTGO0345-0000780,측도,측/NNB + 도/JX
9BTGO0345-0000790,생색이,생색/NNG + 이/JKS
9BTGO0345-0000800,난다.,나/VV + ㄴ다/EF + ./SF
9BTGO0345-0000810,웬만한,웬만/XR + 하/XSA + ㄴ/ETM
9BTGO0345-0000820,물건이면,물건/NNG + 이/VCP + 면/EC
9BTGO0345-0000830,받을,받/VV + 을/ETM
9BTGO0345-0000840,때,때/NNG
9BTGO0345-0000850,그뿐이지만,그/MM + 뿐/NNB + 이/VCP + 지만/EC
9BTGO0345-0000860,캘린더란,캘린더/NNG + 란/JX
9BTGO0345-0000870,1년,1/SN + 년/NNB
9BTGO0345-0000880,내내,내내/MAG
9BTGO0345-0000890,두고,두/VV + 고/EC
9BTGO0345-0000900,보는,보/VX + 는/ETM
9BTGO0345-0000910,것이라,것/NNB + 이/VCP + 라/EC
9BTGO0345-0000920,그,그/MM
9BTGO0345-0000930,정표도,정표/NNG + 도/JX
9BTGO0345-0000940,오래간다.,오래가/VV + ㄴ다/EF + ./SF
9BTGO0345-0000950,원래,원래/NNG
9BTGO0345-0000960,캘린더란,캘린더/NNG + 이/VCP + 란/ETM
9BTGO0345-0000970,말은,말/NNG + 은/JX
9BTGO0345-0000980,라틴어로,라틴어/NNP + 로/JKB
9BTGO0345-0000990,금전출납부를,금전/NNG + 출납부/NNG + 를/JKO
9BTGO0345-0001000,의미했던,의미/NNG + 하/XSV + 았/EP + 던/ETM
9BTGO0345-0001010,것이다.,것/NNB + 이/VCP + 다/EF + ./SF
9BTGO0345-0001020,그런데,그런데/MAJ
9BTGO0345-0001030,옛날,옛날/NNG
9BTGO0345-0001040,로마에서는,로마/NNP + 에서/JKB + 는/JX
9BTGO0345-0001050,금전의,금전/NNG + 의/JKG
9BTGO0345-0001060,대차貸借,대차/NNG + 貸借/SH
9BTGO0345-0001070,관계를,관계/NNG + 를/JKO
9BTGO0345-0001080,매달,매달/MAG
9BTGO0345-0001090,삭일朔日에,삭일/NNG + 朔日/SH + 에/JKB
9BTGO0345-0001100,청산하는,청산/NNG + 하/XSV + 는/ETM
9BTGO0345-0001110,풍속이,풍속/NNG + 이/JKS
9BTGO0345-0001120,있어서,있/VV + 어서/EC
9BTGO0345-0001130,결국,결국/NNG
9BTGO0345-0001140,금전출납부가,금전/NNG + 출납부/NNG + 가/JKS
9BTGO0345-0001150,'달력'을,'/SS + 달력/NNG + '/SS + 을/JKO
9BTGO0345-0001160,의미하는,의미/NNG + 하/XSV + 는/ETM
9BTGO0345-0001170,말로,말/NNB + 로/JKB
9BTGO0345-0001180,전용케,전용/NNG + 하/XSV + 게/EC
9BTGO0345-0001190,되었다는,되/VV + 었/EP + 다는/ETM
9BTGO0345-0001200,것이다.,것/NNB + 이/VCP + 다/EF + ./SF
9BTGO0345-0001210,그러고,그러/VV + 고/EC
9BTGO0345-0001220,보면,보/VX + 면/EC
9BTGO0345-0001230,현대에도,현대/NNG + 에/JKB + 도/JX
9BTGO0345-0001240,'캘린더'와,'/SS + 캘린더/NNG + '/SS + 와/JC
9BTGO0345-0001250,'금전,'/SS + 금전/NNG
9BTGO0345-0001260,대차관계'는,대차/NNG + 관계/NNG + '/SS + 는/JX
9BTGO0345-0001270,서로,서로/MAG
9BTGO0345-0001280,밀접한,밀접/NNG + 하/XSA + ㄴ/ETM
9BTGO0345-0001290,관련이,관련/NNG + 이/JKS
9BTGO0345-0001300,있는,있/VV + 는/ETM
9BTGO0345-0001310,것,것/NNB
9BTGO0345-0001320,같다.,같/VA + 다/EF + ./SF
9BTGO0345-0001330,월말,월말/NNG
9BTGO0345-0001340,계산이니,계산/NNG + 이/VCP + 니/EC
9BTGO0345-0001350,연말,연말/NNG
9BTGO0345-0001360,계산이니,계산/NNG + 이/VCP + 니/EC
9BTGO0345-0001370,해서,하/VV + 아서/EC
9BTGO0345-0001380,빚진,빚지/VV + ㄴ/ETM
9BTGO0345-0001390,것을,것/NNB + 을/JKO
9BTGO0345-0001400,갚고,갚/VV + 고/EC
9BTGO0345-0001410,손익계산損益計算을,손익/NNG + 계산/NNG + 損益計算/SH + 을/JKO
9BTGO0345-0001420,따지는,따지/VV + 는/ETM
9BTGO0345-0001430,습속이,습속/NNG + 이/JKS
9BTGO0345-0001440,그것이다.,그것/NP + 이/VCP + 다/EF + ./SF
9BTGO0345-0001450,속담에도,속담/NNG + 에/JKB + 도/JX
9BTGO0345-0001460,그런,그런/MM
9BTGO0345-0001470,것이,것/NNB + 이/JKS
9BTGO0345-0001480,있지만,있/VV + 지만/EC
9BTGO0345-0001490,'빚은,'/SS + 빚/NNG + 은/JX
9BTGO0345-0001500,해를,해/NNG + 를/JKO
9BTGO0345-0001510,넘겨서는,넘기/VV + 어서/EC + 는/JX
9BTGO0345-0001520,안,안/MAG
9BTGO0345-0001530,된다'는,되/VV + ㄴ다/EC + '/SS + 는/ETM
9BTGO0345-0001540,통념이,통념/NNG + 이/JKS
9BTGO0345-0001550,있다.,있/VV + 다/EF + ./SF
9BTGO0345-0001560,그래서,그래서/MAJ
9BTGO0345-0001570,연말이,연말/NNG + 이/JKC
9BTGO0345-0001580,되면,되/VV + 면/EC
9BTGO0345-0001590,누구나,누구/NP + 나/JX
9BTGO0345-0001600,빚을,빚/NNG + 을/JKO
9BTGO0345-0001610,청산하기에,청산/NNG + 하/XSV + 기/ETN + 에/JKB
9BTGO0345-0001620,바쁘고,바쁘/VA + 고/EC
9BTGO0345-0001630,또,또/MAG
9BTGO0345-0001640,돈을,돈/NNG + 을/JKO
9BTGO0345-0001650,거두어들이는,거두어들이/VV + 는/ETM
9BTGO0345-0001660,데에,데/NNB + 에/JKB
9BTGO0345-0001670,혈안이,혈안/NNG + 이/JKC
9BTGO0345-0001680,된다.,되/VV + ㄴ다/EF + ./SF
9BTGO0345-0001690,여기에서,여기/NP + 에서/JKB
9BTGO0345-0001700,이른바,이른바/MAG
9BTGO0345-0001710,연말,연말/NNG
9BTGO0345-0001720,경기란,경기/NNG + 이/VCP + 란/ETM
9BTGO0345-0001730,말이,말/NNG + 이/JKS
9BTGO0345-0001740,나오기도,나오/VV + 기/ETN + 도/JX
9BTGO0345-0001750,하고,하/VV + 고/EC
9BTGO0345-0001760,보너스,보너스/NNG
9BTGO0345-0001770,타령이,타령/NNG + 이/JKS
9BTGO0345-0001780,생겨나기도,생겨나/VV + 기/ETN + 도/JX
9BTGO0345-0001790,한다.,하/VX + ㄴ다/EF + ./SF
9BTGO0345-0001800,헌,헌/MM
9BTGO0345-0001810,달력장을,달력장/NNG + 을/JKO
9BTGO0345-0001820,떼어내고,떼/VV + 러/EC + 내/VX + 고/EC
9BTGO0345-0001830,새,새/MM
9BTGO0345-0001840,캘린더를,캘린더/NNG + 를/JKO
9BTGO0345-0001850,벽에,벽/NNG + 에/JKB
9BTGO0345-0001860,걸어도,걸/VV + 어도/EC
9BTGO0345-0001870,어쩐지,어쩐지/MAG
9BTGO0345-0001880,마음이,마음/NNG + 이/JKS
9BTGO0345-0001890,개운해지지,개운/XR + 하/XSA + 아/EC + 지/VX + 지/EC
9BTGO0345-0001900,않을,않/VX + 을/ETM
9BTGO0345-0001910,경우도,경우/NNG + 도/JX
9BTGO0345-0001920,있다.,있/VV + 다/EF + ./SF
9BTGO0345-0001930,금전의,금전/NNG + 의/JKG
9BTGO0345-0001940,대차관계뿐만,대차/NNG + 관계/NNG + 뿐/JX + 만/JX
9BTGO0345-0001950,아니라,아니/VCN + 라/EC
9BTGO0345-0001960,정신적인,정신/NNG + 적/XSN + 이/VCP + ㄴ/ETM
9BTGO0345-0001970,부채를,부채/NNG + 를/JKO
9BTGO0345-0001980,갚지,갚/VV + 지/EC
9BTGO0345-0001990,못한,못하/VX + ㄴ/ETM
9BTGO0345-0002000,채,채/NNB
9BTGO0345-0002010,신년을,신년/NNG + 을/JKO
9BTGO0345-0002020,맞이한다는,맞이/XR + 하/XSV + ㄴ다는/ETM
9BTGO0345-0002030,것은,것/NNB + 은/JX
9BTGO0345-0002040,아무래도,아무래도/MAG
9BTGO0345-0002050,꺼림칙한,꺼림칙/XR + 하/XSA + ㄴ/ETM
9BTGO0345-0002060,일이다.,일/NNG + 이/VCP + 다/EF + ./SF
9BTGO0345-0002070,묵은,묵/VV + 은/ETM
9BTGO0345-0002080,달력장을,달력장/NNG + 을/JKO
9BTGO0345-0002090,떼어내,떼/VV + 러/EC + 내/VX + 어/EC
9BTGO0345-0002100,버리듯이,버리/VX + 듯이/EC
9BTGO0345-0002110,그렇게,그렇/VA + 게/EC
9BTGO0345-0002120,모든,모든/MM
9BTGO0345-0002130,문제를,문제/NNG + 를/JKO
9BTGO0345-0002140,청산하지,청산/NNG + 하/XSV + 지/EC
9BTGO0345-0002150,않고서는,않/VX + 고서/EC + 는/JX
9BTGO0345-0002160,참된,참/NNG + 되/XSA + ㄴ/ETM
9BTGO0345-0002170,송구영신送舊迎新의,송구영신/NNG + 送舊迎新/SH + 의/JKG
9BTGO0345-0002180,기분을,기분/NNG + 을/JKO
9BTGO0345-0002190,맛보기,맛보/VV + 기/ETN
9BTGO0345-0002200,어려운,어렵/VA + ㄴ/ETM
9BTGO0345-0002210,까닭이다.,까닭/NNG + 이/VCP + 다/EF + ./SF
9BTGO0345-0002220,'캘린더'가,'/SS + 캘린더/NNG + '/SS + 가/JKS
9BTGO0345-0002230,'금전출납부'에서,'/SS + 금전/NNG + 출납부/NNG + '/SS + 에서/JKB
9BTGO0345-0002240,파생된,파생/NNG + 되/XSV + ㄴ/ETM
9BTGO0345-0002250,말임은,말/NNG + 이/VCP + ㅁ/ETN + 은/JX
9BTGO0345-0002260,생각할수록,생각/NNG + 하/XSV + ㄹ수록/EC
9BTGO0345-0002270,의미심장하다.,의미심장/XR + 하/XSA + 다/EF + ./SF
9BTGO0345-0002280,사실,사실/MAG
9BTGO0345-0002290,하루를,하루/NNG + 를/JKO
9BTGO0345-0002300,살아간다는,살아가/VV + ㄴ다는/ETM
9BTGO0345-0002310,것이,것/NNB + 이/JKS
9BTGO0345-0002320,금전출납부의,금전/NNG + 출납부/NNG + 의/JKG
9BTGO0345-0002330,숫자를,숫자/NNG + 를/JKO
9BTGO0345-0002340,메우기,메우/VV + 기/ETN
9BTGO0345-0002350,위한,위하/VV + ㄴ/ETM
9BTGO0345-0002360,행위처럼,행위/NNG + 처럼/JKB
9BTGO0345-0002370,느껴질,느끼/VV + 어/EC + 지/VX + ㄹ/ETM
9BTGO0345-0002380,때가,때/NNG + 가/JKS
9BTGO0345-0002390,많다.,많/VA + 다/EF + ./SF
9BTGO0345-0002400,새,새/MM
9BTGO0345-0002410,캘린더에는,캘린더/NNG + 에/JKB + 는/JX
9BTGO0345-0002420,근하신년이라고,근하신년/NNG + 이/VCP + 라고/EC
9BTGO0345-0002430,씌어,씌/VV + 어/EC
9BTGO0345-0002440,있지만…….,있/VX + 지만/EC + …/SE + …/SE + ./SF
9BTGO0345-0002450,과연,과연/MAG
9BTGO0345-0002460,몇,몇/MM
9BTGO0345-0002470,사람이나,사람/NNG + 이나/JC
9BTGO0345-0002480,새해를,새해/NNG + 를/JKO
9BTGO0345-0002490,새해답게,새해/NNG + 답/XSA + 게/EC
9BTGO0345-0002500,맞이할,맞이/XR + 하/XSV + ㄹ/ETM
9BTGO0345-0002510,것인가?,것/NNB + 이/VCP + ㄴ가/EF + ?/SF
